Antiguedad,Nro_pisos,Dormitorios,Area_constr_m2,Area_total_m2,Precio
5,2,3,450,600,885000
3,3,4,625,1518,1950000
2,2,5,350,1000,900000
4,2,5,451,1206,2000000
3,2,4,270,730,750000
9,2,4,330,600,950000
3,2,4,750,2050,870000
3,2,4,438,1096,890000
2,2,5,160,213,319000
2,2,5,214,214,319000
3,3,5,360,360,550000
5,1,3,280,517,545000
1,2,3,193,270,350000
1,2,5,465,750,870000
4,3,4,193,284,1250000
5,2,3,350,500,499000
1,2,4,465,750,870000
3,2,4,340,1015,870000
1,2,3,193,270,350000
1,2,3,193,270,349000
1,3,5,350,350,550000
3,3,4,350,350,550000
1,2,4,550,750,870000
3,3,3,215,240,279000
9,2,3,428,700,1400000
3,3,4,354,335,520000
3,3,5,366,495,790000
3,2,4,338,340,670000
3,3,5,462,587,889000
3,3,4,337,314,550000
3,2,4,315,387,650000
3,2,4,400,436,1250000
3,2,4,412,1008,1000000
3,2,4,380,1100,790000
3,2,4,239,463,535000
3,2,4,400,1084,790000
3,3,5,362,362,390000
7,2,4,225,300,520000
3,3,5,340,340,670000
2,3,5,210,120,260000
2,3,3,279,360,430000
2,3,5,347,347,481000
3,4,5,340,345,670000
1,2,4,431,464,450000
1,2,4,230,160,349000
1,3,5,260,200,350000
1,2,5,400,617,500000
2,2,5,404,522,460000
2,2,4,375,1250,1250000
2,2,5,320,320,496000
2,2,4,232,192,370000
2,3,3,230,175,350000
1,2,5,430,450,770000
2,2,5,660,1142,1150000
2,2,5,130,160,320000
1,3,4,298,464,740000
1,2,5,408,461,630000
1,3,4,443,450,799000
2,2,5,232,232,380000
9,2,4,290,290,530000
7,2,4,297,307,579999
3,2,5,350,750,720000
1,2,4,285,315,520000
3,3,5,700,457,580000
3,3,5,355,532,470000
3,3,5,415,500,498000
2,2,4,190,500,375000
1,2,4,270,300,445000
2,2,4,230,122,290000
3,2,4,374,303,770000
3,2,3,293,1400,1200000
3,2,3,168,268,420000
3,2,5,490,1289,1450000
3,2,4,300,1000,1450000
3,2,3,400,600,790000
3,3,5,518,600,1323000
3,3,5,210,160,380000
3,3,5,420,382,485000
2,2,5,305,305,245000
2,2,5,700,1052,1350000
3,3,4,230,180,400000
1,2,3,329,382,643000
2,2,4,337,1000,890000
3,2,4,500,1000,1350000
3,2,5,214,244,319000
3,2,4,400,1500,1230000
3,2,4,200,200,205000
2,2,5,289,300,580000
3,3,4,467,1075,1300000
1,3,4,430,800,680000
2,3,4,430,430,449001
1,3,4,800,800,680000
3,2,5,244,160,320000
1,2,4,250,300,580000
1,2,4,500,1000,1400000
1,2,3,271,305,480000
3,2,4,410,986,1200000
3,3,3,300,200,570000
2,2,3,100,160,215000
3,2,4,1050,1050,1400000
3,3,5,216,160,404999
4,2,5,287,300,445000
3,2,3,270,338,498000
1,2,4,290,500,530000
1,3,5,580,780,1680000
5,2,4,307,318,530000
3,2,5,400,1000,1040000
3,3,4,350,528,780000
3,1,3,360,700,1400000
1,2,4,345,402,430000
1,1,3,270,700,860000
1,2,3,225,300,520000
3,1,3,400,700,975000
3,2,3,320,550,920000
1,1,5,180,500,400000
1,3,4,260,166,285000
1,2,3,350,950,950000
1,3,5,550,128,1600000
3,2,5,365,521,460000
1,3,4,240,180,382000
3,1,4,685,1035,1500000
1,2,4,600,1070,2100000
1,2,5,142,142,210000
3,2,3,312,700,890000
7,2,4,315,315,495000
3,3,4,166,166,285000
3,3,4,330,160,355000
3,2,4,232,307,550000
2,2,4,255,302,620000
3,3,4,478,320,495000
3,2,5,466,833,790000
1,2,5,213,213,320000
1,2,3,331,331,420000
2,3,5,525,1114,1299000
1,3,4,412,1008,990000
3,3,4,234,275,580000
5,1,3,280,517,545000
9,3,5,500,560,630000
1,3,5,400,400,770000
8,2,4,253,615,425000
4,3,5,485,395,860000
4,3,5,495,495,860000
3,3,5,396,395,640000
2,2,4,201,201,315000
3,2,3,325,1000,1400000
8,2,4,500,1200,1300000
2,2,4,450,700,970000
5,2,4,300,300,530000
3,2,4,360,385,675000
1,3,5,420,160,350000
4,2,4,149,218,345000
3,3,4,235,160,350000
4,2,4,238,301,445000
7,2,4,259,282,495000
2,3,5,325,300,399000
3,2,4,1200,4000,1600000
1,1,4,274,709,920000
9,1,4,140,300,310000
1,2,4,400,890,980000
4,2,4,219,300,445000
3,2,3,480,311,660000
1,3,4,265,176,300000
7,2,3,267,303,590000
5,2,4,400,1650,2300000
9,2,4,280,340,560000
3,2,3,240,160,390000
3,2,4,922,2507,2500000
3,3,5,250,300,500000
2,3,5,500,560,650000
8,2,3,204,300,370000
9,2,3,290,300,465000
2,2,4,230,301,470000
2,1,4,565,1390,1190000
9,3,4,242,240,480000
2,3,4,337,314,520000
3,2,5,600,1413,1400000
1,2,4,600,1022,1400000
3,2,4,426,787,780000
2,2,5,350,1000,1050000
3,3,5,474,1036,1150000
3,3,5,600,800,650000
2,3,4,531,312,530000
1,3,5,241,240,450000
3,2,4,460,1010,1350000
3,2,5,400,1000,1060000
3,2,4,611,1100,1380000
3,2,4,305,315,479000
3,2,3,500,1008,1200000
4,2,4,600,500,980000
8,2,3,278,181,498000
7,3,5,290,290,480000
3,2,3,256,300,498000
3,3,4,360,240,580000
3,3,4,395,320,630000
3,2,3,400,1097,980000
3,2,3,350,1100,1130000
3,1,4,460,1206,2000000
2,2,4,315,315,400000
1,2,3,400,850,750000
1,3,3,280,220,395000
3,2,4,521,1017,1300000
1,3,4,280,160,330000
3,3,3,300,400,578000
2,1,5,410,1000,1200000
1,3,3,350,464,740000
3,3,5,320,320,400000
1,1,3,290,1000,1700000
1,2,4,270,300,445000
9,2,4,296,296,456000
1,2,4,800,2480,1400000
8,2,3,250,300,550000
1,2,4,323,1127,1100000
2,1,5,650,1150,1890000
3,3,5,220,185,350000
2,2,3,340,527,960000
3,2,5,1323,1323,950000
1,2,5,517,1098,2380000
3,1,4,337,1104,1400000
3,2,5,335,604,670000
1,3,5,450,300,460000
5,2,4,440,500,498000
2,3,4,337,314,550000
3,2,5,700,2364,2380000
1,2,5,363,600,990000
1,2,3,340,220,530000
3,2,2,456,456,550000
4,2,5,590,1150,1700000
1,2,4,436,1795,2800000
8,2,4,300,520,865000
3,2,3,177,177,350000
2,3,5,490,350,680000
3,2,4,364,364,670000
3,2,4,298,331,650000
3,2,4,316,315,650000
3,3,4,402,362,650000
3,2,4,265,200,600000
3,3,4,536,237,580000
3,2,4,294,350,530000
3,2,3,132,216,430000
3,2,5,500,730,1090000
3,2,4,500,730,1100000
3,2,3,212,287,415000
9,2,4,330,335,590000
5,3,5,797,1425,1050000
1,2,3,190,400,230000
3,2,5,410,1232,1200000
3,3,4,241,241,395000
